Type      Name                          Path                                              Size (Bytes)   Creation Date       Modification Date   
-------------------------------------------------------------------------------------------------------------------------------------------------
File      TkinterIMAGES.py              C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\TkinterIMAGES.py1611           2020-12-21 19:21:52 2020-12-21 19:21:53 
File      tkinterCreated on Mon Dec  7 163714 2020.pyC:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\tkinterCreated on Mon Dec  7 163714 2020.py442            2020-12-21 19:22:33 2020-12-21 19:22:34 
File      tk.py                         C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\tk.py464            2020-12-22 11:04:50 2020-12-22 11:04:50 
File      About_Battery.pdf             C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\About_Battery.pdf160981         2021-02-04 13:27:09 2020-12-23 06:40:26 
File      Readme.md                     C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\Readme.md2403           2021-02-04 13:27:09 2020-12-23 06:40:26 
File      Tutorial.pdf                  C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\Tutorial.pdf9174898        2021-02-04 13:27:09 2020-12-23 06:40:26 
File      CloseThreading.py             C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\Client\CloseThreading.py1027           2021-02-04 13:27:09 2020-12-23 06:40:26 
File      Command.py                    C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\Client\Command.py1213           2021-02-04 13:27:09 2020-12-23 06:40:26 
File      Config.txt                    C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\Client\Config.txt13             2021-02-04 13:27:09 2020-12-23 06:40:26 
File      fn_logo_rc.py                 C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\Client\fn_logo_rc.py142741         2021-02-04 13:27:09 2020-12-23 06:40:26 
File      Freenove_Math.py              C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\Client\Freenove_Math.py502            2021-02-04 13:27:09 2020-12-23 06:40:26 
File      main.py                       C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\Client\main.py21712          2021-02-04 13:27:09 2020-12-23 06:40:26 
File      Message.py                    C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\Client\Message.py933            2021-02-04 13:27:09 2020-12-23 06:40:26 
File      ScratchServer.py              C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\Client\ScratchServer.py15917          2021-02-04 13:27:09 2020-12-23 06:40:26 
File      TCPClient.py                  C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\Client\TCPClient.py1286           2021-02-04 13:27:09 2020-12-23 06:40:26 
File      Ui_main.py                    C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\Client\Ui_main.py27488          2021-02-04 13:27:09 2020-12-23 06:40:26 
File      Ui_Message.py                 C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\Client\Ui_Message.py1803           2021-02-04 13:27:09 2020-12-23 06:40:26 
File      car_photo.html                C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\Client\html\car_photo.html106            2021-02-04 13:27:09 2020-12-23 06:40:26 
File      car_photo.jpg                 C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\Client\html\imgs\car_photo.jpg68064          2021-02-04 13:27:09 2020-12-23 06:40:26 
File      extensions.json               C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\Client\Scratch\extensions.json494            2021-02-04 13:27:09 2020-12-23 06:40:26 
File      piCar.js                      C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\Client\Scratch\piCar.js7707           2021-02-04 13:27:09 2020-12-23 06:40:26 
File      ScratchReadme.txt             C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\Client\Scratch\ScratchReadme.txt1199           2021-02-04 13:27:09 2020-12-23 06:40:26 
File      CHANGELOG                     C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\CHANGELOG102            2021-02-04 13:27:10 2020-12-23 06:40:26 
