Extension,Type,Name,Path,Size (Bytes),Creation Date,Modification Date
.py,Script,tkinter20201221.py,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\tkinter20201221.py,510,2020-12-21 19:21:47,2020-12-21 19:21:48
.py,Script,TkinterIMAGES.py,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\TkinterIMAGES.py,1611,2020-12-21 19:21:52,2020-12-21 19:21:53
.py,Script,tkinterCreated on Mon Dec  7 163714 2020.py,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\tkinterCreated on Mon Dec  7 163714 2020.py,442,2020-12-21 19:22:33,2020-12-21 19:22:34
.py,Script,tk.py,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\tk.py,464,2020-12-22 11:04:50,2020-12-22 11:04:50
.pdf,Document,About_Battery.pdf,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\About_Battery.pdf,160981,2021-02-04 13:27:09,2020-12-23 06:40:26
.md,Unknown,Readme.md,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\Readme.md,2403,2021-02-04 13:27:09,2020-12-23 06:40:26
.pdf,Document,Tutorial.pdf,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\Tutorial.pdf,9174898,2021-02-04 13:27:09,2020-12-23 06:40:26
.py,Script,CloseThreading.py,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\Client\CloseThreading.py,1027,2021-02-04 13:27:09,2020-12-23 06:40:26
.py,Script,Command.py,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\Client\Command.py,1213,2021-02-04 13:27:09,2020-12-23 06:40:26
.txt,Text,Config.txt,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\Client\Config.txt,13,2021-02-04 13:27:09,2020-12-23 06:40:26
